LDSS_ID,DO_NUM,AU_NUM,CLIENT_ID,CL_LAST_NAME,CL_FIRST_NAME,BENEFIT_BEGIN_DATE,APPLICATION_DATE,DOB,HOH_REL_CD,CL_AU_STS_DT,STREET_NUM,STREET_DTCTN_CODE,STREET_NAME,STREET1_ADDRESS,STREET_TYPE_CODE,APT_NUM,CITY,STATE,ZIPCODE,AU_BNFT_AMT,PRIM_LANG_CD,SSN,LIVING_ARRANGEMENT_TYPE_CODE,PREGNANCY_DUE_DT,INCOME_TYPE_CD,INCOME_FREQ_CD,WORK_HOURS_NUM,INCOME_AMT,UI_TYPE_CD,UI_FREQ_CD,UI_AMT,DISABILITY_TYPE_CODE,DISABILITY_START_DATE,DISABILITY_END_DATE,AU_RR_PRD_START_DT,AU_RR_PRD_END_DT,INS_STATUS_CODE,WORK_COUNTER,ABAWD_STATUS,Benefit_Status_Date,Gender
26,3440928896,23-959-7374,3400898694,Maddigan,Jacky,20171128,20170222,20170429,"""SE""",20170218,1,,Coleman,,Center,,Santa Monica,CA,90410,627.45,Sotho,449722517,Divorced,,,,,6066.37,,,,,,,20171112,TRUE,TRUE,TRUE,FALSE,20170822,
27,3059381984,06-326-3800,9854596834,Maile,Carlin,20110217,20170520,20170825,"""SE""",20170723,8223,,Bultman,,Parkway,,Long Beach,CA,90847,486.34,Somali,354276808,Widow,20180916,,,,28990.87,,,,,,,20171224,FALSE,TRUE,FALSE,TRUE,20171118,
28,1427092362,58-267-5754,469968567,Eastlake,Claudian,20130618,20170203,20170922,"""SE""",20171209,4,,Mcguire,,Way,,New York City,NY,10150,1177.32,Luxembourgish,118528068,Widower,,,,,37145.88,,,,,,,20170331,FALSE,FALSE,FALSE,TRUE,20171125,
29,5945451029,49-094-5501,5886437770,Iannini,Doug,20120704,20170622,20170718,"""SE""",20171010,9283,,Luster,,Hill,,Pittsburgh,PA,15250,2549.14,Romanian,884366363,Married,,,,,48374.98,,,,,,,20170618,TRUE,FALSE,TRUE,TRUE,20171213,
30,591094630,06-848-7091,583811078,Mapstone,Tim,20150926,20170519,20170827,"""SE""",20171027,9,,Ridgeview,,Trail,,Des Moines,IA,50310,1905.02,West Frisian,132961023,Widow,,,,,14432.8,,,,,,,20171120,FALSE,TRUE,TRUE,FALSE,20170324,
31,3252552949,78-025-0581,6962561423,Angrove,Thibaud,20151203,20171211,20180110,"""SE""",20170429,9305,,1st,,Terrace,1798,San Antonio,TX,78240,1964.51,Bislama,412762663,Widow,,,,,34815.78,,,,,,,20170726,FALSE,FALSE,TRUE,FALSE,20171214,
32,5666715178,85-841-5938,2588819907,Learman,Jillie,20140804,20170826,20170917,"""SE""",20170928,21,,Ridgeway,,Parkway,,San Francisco,CA,94177,1240.75,Norwegian,526714390,Single,,,,,30630.92,,,,,,,20170902,TRUE,FALSE,FALSE,TRUE,20170710,
33,8413972787,32-469-2305,4431986545,Regnard,Dermot,20130810,20171011,20170906,"""SE""",20170627,6636,,Nevada,,Circle,,Corona,CA,92878,2806.32,Malayalam,382016066,Widower,,,,,7947.98,,,,,,,20170610,TRUE,TRUE,FALSE,FALSE,20170709,
34,1288451415,45-249-0557,1426624727,Horburgh,Ana,20151221,20170525,20170726,"""SE""",20180112,20,,Atwood,,Street,,Las Vegas,NV,89125,183.34,Sotho,104813691,Single,,,,,22856.85,,,,,,,20170126,FALSE,FALSE,TRUE,FALSE,20171107,
35,25982850,70-939-5664,7196561945,Adderson,Sibelle,20151121,20170326,20180115,"""SE""",20171208,57,,Glendale,,Circle,,Washington,DC,20380,,Bengali,617652976,Widower,,,,,66598.58,,,,,,,20170505,FALSE,TRUE,FALSE,TRUE,20170123,
36,3533564304,61-245-5002,5412483399,St Ange,Silvio,20161118,20171001,20170327,"""SE""",20170920,26,,Arizona,,Point,968,Durham,NC,27717,2517.44,Hindi,766396137,Widow,,,,,55879.6,,,,,,,20170703,FALSE,TRUE,TRUE,FALSE,20170824,
37,7590970093,48-791-5348,1318977177,Rudolph,Demott,20141218,20171105,20170605,"""SE""",20171231,8,,Towne,,Park,,Toledo,OH,43610,1980.45,Arabic,879441436,Single,20180513,,,,53899.3,,,,,,,20170519,FALSE,FALSE,FALSE,FALSE,20170823,
38,1645604136,10-478-0839,3538147280,Stappard,Courtney,20121027,20171201,20170825,"""SE""",20170122,765,,Redwing,,Lane,290,Colorado Springs,CO,80920,3390.11,Somali,324893045,Married,20180311,,,,4296.13,,,,,,,20171129,FALSE,FALSE,TRUE,TRUE,20170717,
39,790229307,03-618-7098,9730934916,Maharry,Megen,20160126,20170221,20170711,"""SE""",20171229,80,,Pepper Wood,,Way,,Peoria,IL,61629,1781.64,Hindi,363568481,Widower,20180906,,,,50177.66,,,,,,,20170606,FALSE,FALSE,FALSE,FALSE,20170402,
40,7126279574,74-463-3514,1888290013,Branca,Northrop,20160418,20170403,20170311,"""SE""",20170429,48,,Southridge,,Point,,Houston,TX,77005,,Burmese,802986030,Single,,,,,72219.83,,,,,,,20170224,TRUE,FALSE,FALSE,TRUE,20170619,
41,5052319452,70-727-3217,3139555067,Gunda,Jarrett,20150630,20170329,20171216,"""SE""",20180115,0,,Carberry,,Parkway,574,Delray Beach,FL,33448,3378.94,Korean,272767864,Widow,,,,,23595.68,,,,,,,20171217,FALSE,FALSE,FALSE,TRUE,20171017,
42,6905671622,18-731-8049,7305797766,Wager,Lisette,20131027,20171001,20170823,"""SE""",20170628,9,,Gale,,Plaza,52,Tyler,TX,75705,132.55,Zulu,185155671,Married,,,,,8144.14,,,,,,,20180112,FALSE,TRUE,TRUE,TRUE,20171004,
43,5657086198,89-245-0201,5489793619,Lyons,Dolli,20120731,20170629,20170613,"""SE""",20170917,329,,Mockingbird,,Hill,,Des Moines,IA,50936,2233.81,Armenian,404010387,Widow,,,,,46839.59,,,,,,,20170708,TRUE,FALSE,TRUE,TRUE,20170822,
44,802999778,80-664-1141,8700205230,Lewer,Faunie,20140811,20171104,20170201,"""SE""",20171114,314,,Village,,Park,85591,Watertown,MA,2472,1279.98,Norwegian,293016359,Divorced,,,,,29434.68,,,,,,,20170313,TRUE,TRUE,FALSE,TRUE,20170405,
45,811144569,20-427-4217,3887770463,Hambidge,Connie,20121207,20170121,20170324,"""SE""",20170413,89,,Wayridge,,Road,57,Columbia,SC,29225,1875.86,Nepali,663657649,Widow,20180621,,,,70122,,,,,,,20170409,FALSE,FALSE,FALSE,FALSE,20171011,
46,2750990777,34-618-6639,3879326533,Kernoghan,Fernande,20160726,20180108,20170819,"""SE""",20180106,3645,,Schurz,,Way,9,North Hollywood,CA,91616,703.07,Thai,397289917,Widower,20180802,,,,36138.04,,,,,,,20170805,FALSE,FALSE,TRUE,FALSE,20170508,
47,6039153466,47-031-8118,8259355116,Millichap,Roger,20161023,20171228,20170907,"""SE""",20170923,59150,,Grasskamp,,Pass,48757,Lexington,KY,40586,3299.07,Estonian,255447668,Single,20181005,,,,23605.12,,,,,,,20180108,TRUE,TRUE,TRUE,TRUE,20170712,
48,2376199190,99-973-9629,1833136780,McNerlin,Jillian,20150615,20171128,20171119,"""SE""",20171217,368,,Bobwhite,,Point,,Pasadena,TX,77505,1647.39,Nepali,667996888,Widow,,,,,21455.6,,,,,,,20170915,FALSE,FALSE,FALSE,TRUE,20170424,
49,3851930878,70-666-7254,3117027092,Ouldcott,Cherrita,20120102,20170726,20171111,"""SE""",20170325,95033,,Vahlen,,Plaza,64,Detroit,MI,48217,2557.75,Papiamento,293178505,Widower,20180619,,,,,,,,,,,20171218,FALSE,TRUE,TRUE,TRUE,20170623,
50,9918933445,18-467-2152,6940114947,Schubuser,Renelle,20141031,20170315,20170727,"""SE""",20171003,31,,Mallory,,Pass,,Indianapolis,IN,46247,1993.97,Catalan,738294829,Married,,,,,41959.74,,,,,,,20170315,TRUE,TRUE,FALSE,TRUE,20170730,
51,8555512514,49-515-0158,9814983802,Coupe,Isidoro,20111204,20170130,20170617,"""SE""",20170901,26737,,Pepper Wood,,Crossing,,Kansas City,MO,64136,3219.28,Northern Sotho,134145736,Married,,,,,,,,,,,,20170318,TRUE,TRUE,FALSE,TRUE,20170823,
52,1723522198,11-690-9901,3224478322,Gale,Cam,20160816,20170506,20171128,"""SE""",20170523,7,,Fair Oaks,,Center,,Boca Raton,FL,33499,2720.8,Swahili,785477188,Single,,,,,22824.43,,,,,,,20170907,FALSE,TRUE,TRUE,TRUE,20170802,
53,9618822435,04-911-1098,4758150702,Boorer,Tandi,20121008,20170627,20170712,"""SE""",20170506,876,,Schmedeman,,Drive,,Vero Beach,FL,32964,,Chinese,570764854,Widower,,,,,34454.62,,,,,,,20170531,TRUE,TRUE,TRUE,FALSE,20170517,
54,5974277007,51-873-2915,447339370,Stutard,Rolfe,20151223,20171026,20170502,"""SE""",20170802,76040,,Express,,Pass,7,Burbank,CA,91520,,Tok Pisin,846419978,Divorced,,,,,19284.38,,,,,,,20170303,TRUE,FALSE,TRUE,FALSE,20170319,
55,6909800168,71-464-4516,6212809631,Brigstock,Morry,20120521,20170212,20170902,"""SE""",20170812,5305,,Hayes,,Trail,,Arlington,VA,22212,2446.11,German,716553425,Divorced,,,,,7872.48,,,,,,,20170509,TRUE,TRUE,FALSE,TRUE,20170128,
56,4452339050,51-025-2119,781490804,Dulton,Cindelyn,20110218,20170709,20180102,"""SE""",20170527,7,,Service,,Terrace,52906,Fort Smith,AR,72916,2918.8,Korean,368315080,Married,,,,,55867.38,,,,,,,20170322,FALSE,TRUE,TRUE,TRUE,20170831,
57,2038846332,21-063-1558,8184366280,Camplen,Luelle,20140915,20170704,20170616,"""SE""",20170529,793,,American Ash,,Crossing,25,Lansing,MI,48919,1346.86,Assamese,270203284,Single,,,,,73595.19,,,,,,,20170225,TRUE,FALSE,FALSE,TRUE,20171103,
58,8594632673,94-250-6561,2041513446,Dimeloe,Carleen,20110618,20171009,20170710,"""SE""",20171023,7008,,Del Mar,,Place,,Springfield,MA,1114,2489.32,Afrikaans,682281514,Divorced,,,,,58229.26,,,,,,,20171204,TRUE,TRUE,FALSE,FALSE,20170725,
59,293770816,08-331-3883,8856931982,Smallcomb,Clareta,20120320,20180104,20171219,"""SE""",20170611,1,,Becker,,Center,92285,Dallas,TX,75353,2789.71,Thai,843051189,Divorced,,,,,,,,,,,,20171028,TRUE,FALSE,FALSE,TRUE,20170205,
60,7799583223,06-441-2669,8393948975,Weathers,Julina,20120328,20171113,20170424,"""SE""",20171203,4,,Arrowood,,Point,345,Santa Barbara,CA,93150,2756.75,Indonesian,309722454,Married,,,,,8809.06,,,,,,,20171014,FALSE,FALSE,FALSE,FALSE,20171129,
61,2639642960,44-447-6729,9884129371,Pirnie,Clio,20170505,20171125,20171122,"""SE""",20170228,1,,Prairieview,,Avenue,64764,Detroit,MI,48206,2901.41,Finnish,453454830,Widower,,,,,31985.72,,,,,,,20170207,TRUE,TRUE,FALSE,FALSE,20171003,
62,7736433771,64-285-8578,9067129437,McMenamin,Ethelin,20140915,20170513,20170913,"""SE""",20170808,3248,,Bobwhite,,Junction,,Raleigh,NC,27626,1131.5,Bulgarian,292304077,Divorced,,,,,30843.89,,,,,,,20170808,FALSE,TRUE,FALSE,TRUE,20170830,
63,7293985118,87-872-2236,6038193758,Voce,Dorian,20161014,20171205,20170807,"""SE""",20170711,75,,Dovetail,,Lane,,Washington,DC,20215,2543.62,Swati,469717818,Widower,,,,,,,,,,,,20170607,FALSE,TRUE,FALSE,TRUE,20170824,
64,4152608196,44-376-1800,1493341480,Dani,Meyer,20180117,20170403,20171026,"""SE""",20170918,52,,Eagan,,Court,4,Chattanooga,TN,37416,109.27,Swedish,440914314,Widow,,,,,19477.62,,,,,,,20171122,TRUE,FALSE,FALSE,FALSE,20170821,
65,5153149307,62-759-5213,5856785061,Chater,Jori,20161009,20171210,20170303,"""SE""",20171114,330,,Schiller,,Court,,Fresno,CA,93709,872.39,Korean,353306105,Divorced,,,,,4048.18,,,,,,,20170219,TRUE,FALSE,TRUE,FALSE,20170718,
66,8010540048,02-130-9395,2103857097,McKeon,Devon,20140523,20170316,20171128,"""SE""",20170417,90971,,Shelley,,Trail,,Anaheim,CA,92812,2354.82,Pashto,193996031,Widower,20180707,,,,78941.15,,,,,,,20170409,TRUE,FALSE,FALSE,FALSE,20170612,
67,7500708750,68-298-9837,5479112562,Denerley,Doralynne,20130313,20170523,20170925,"""SE""",20170915,25020,,Meadow Valley,,Court,,Chicago,IL,60697,2203.67,Somali,110728937,Widow,,,,,35149.62,,,,,,,20170901,TRUE,TRUE,FALSE,TRUE,20170502,
68,6321338303,40-543-0017,4707188257,Linacre,Piggy,20160628,20170923,20170328,"""SE""",20170331,926,,Old Shore,,Alley,,Sarasota,FL,34276,2752.41,Polish,132707050,Widower,20180704,,,,29228.91,,,,,,,20170626,FALSE,FALSE,FALSE,FALSE,20170809,
69,2013636075,15-619-7751,2230053884,Futcher,Drusie,20130622,20170704,20170801,"""SE""",20170703,218,,Fairfield,,Court,,Kansas City,MO,64109,3236.57,Malagasy,163022094,Single,,,,,28690.25,,,,,,,20170531,FALSE,TRUE,TRUE,TRUE,20170211,
70,4705343018,13-473-0501,2656652774,Jeans,Vlad,20110825,20171013,20170204,"""SE""",20171005,809,,Toban,,Street,,Washington,DC,20319,1511.37,Georgian,310222931,Single,,,,,60050.11,,,,,,,20170211,FALSE,TRUE,TRUE,FALSE,20170923,
71,4064944186,48-829-3707,8055793115,Dionisio,Poppy,20140308,20170530,20170508,"""SE""",20170826,2,,Sutteridge,,Center,,Long Beach,CA,90805,2575.28,Kannada,724634347,Single,,,,,,,,,,,,20171216,FALSE,TRUE,FALSE,TRUE,20171110,
72,1497573645,92-880-6288,6530578145,Rivlin,Somerset,20141026,20170504,20170207,"""SE""",20170211,4,,Graceland,,Way,4389,New York City,NY,10115,1226.55,Luxembourgish,362903252,Married,,,,,7882.02,,,,,,,20170822,FALSE,FALSE,FALSE,TRUE,20170303,
73,8584986693,09-721-4532,9189242106,Levesley,Matty,20151128,20170222,20170503,"""SE""",20170509,532,,Eagle Crest,,Park,,Harrisburg,PA,17110,3244.01,Pashto,419023434,Divorced,,,,,26196.94,,,,,,,20170416,FALSE,FALSE,TRUE,TRUE,20170309,
74,4346309909,76-893-5481,8564503735,Mayte,Astrid,20160308,20170503,20170827,"""SE""",20170302,2,,Charing Cross,,Place,,Chattanooga,TN,37450,,Chinese,794999600,Divorced,,,,,12082.67,,,,,,,20170504,TRUE,TRUE,TRUE,TRUE,20170827,
75,7624981629,96-594-0278,2627095420,Meineken,Kenon,20120929,20171105,20170129,"""SE""",20170605,18012,,Golf,,Road,,Lynchburg,VA,24503,975.98,Malayalam,826810502,Married,,,,,49989.69,,,,,,,20170321,FALSE,FALSE,TRUE,FALSE,20170922,
76,5354715768,51-439-9124,5397979503,Dryburgh,Kile,20160409,20170807,20180101,"""SE""",20170412,1,,Westridge,,Alley,,Tacoma,WA,98464,3043.88,Armenian,736252191,Married,,,,,934.64,,,,,,,20170919,FALSE,TRUE,FALSE,TRUE,20171012,
77,2826013335,66-776-2694,9133712751,Brinsford,Braden,20171003,20170622,20180116,"""SE""",20170224,51,,Lyons,,Plaza,,Kissimmee,FL,34745,2872.23,Catalan,751064383,Widower,,,,,44859.62,,,,,,,20170713,FALSE,TRUE,TRUE,TRUE,20171123,
78,7026448536,33-155-1452,7140763844,Bodleigh,Julienne,20150123,20170926,20170415,"""SE""",20170426,2851,,Rigney,,Trail,,Amarillo,TX,79176,2798.34,Danish,674697144,Single,20180728,,,,,,,,,,,20171211,TRUE,TRUE,FALSE,TRUE,20170609,
79,585476888,49-965-6676,7330951331,Linggard,Neddie,20120401,20170510,20171107,"""SE""",20170328,0,,Dawn,,Drive,,Little Rock,AR,72204,1225.51,Icelandic,349539836,Widow,,,,,,,,,,,,20171228,TRUE,FALSE,FALSE,FALSE,20171024,
80,2242247395,85-912-5523,3740909870,Jerrom,Sharona,20160920,20170930,20171004,"""SE""",20171229,7136,,Lien,,Hill,,New York City,NY,10014,2539.08,Polish,553340051,Widower,,,,,,,,,,,,20171121,TRUE,FALSE,TRUE,FALSE,20170228,
81,6954397873,81-869-0639,7663907558,Hoyt,Grove,20170929,20170202,20170429,"""SE""",20170504,32537,,Hoffman,,Way,,Peoria,AZ,85383,2929.77,Oriya,305043440,Single,,,,,,,,,,,,20180101,TRUE,FALSE,FALSE,FALSE,20170322,
82,8780009794,80-242-9264,6330702160,Crepel,Gardener,20140921,20170509,20170715,"""SE""",20170503,66,,Beilfuss,,Road,,Anchorage,AK,99512,762.7,Kashmiri,363758618,Widower,,,,,69839.39,,,,,,,20170914,TRUE,FALSE,FALSE,FALSE,20171204,
83,5513143488,15-513-3193,8290258321,Crass,Celestine,20111126,20170708,20170825,"""SE""",20170616,37,,Hansons,,Road,59742,Salt Lake City,UT,84170,2824.31,Maltese,114713985,Widower,,,,,76988.26,,,,,,,20171114,FALSE,TRUE,FALSE,FALSE,20170807,
84,4145495861,05-193-1478,70154333,Gerretsen,Cariotta,20170105,20171221,20170404,"""SE""",20171022,97480,,Grasskamp,,Road,,Mobile,AL,36616,521.59,Tajik,796096485,Divorced,,,,,77964.83,,,,,,,20171106,TRUE,FALSE,FALSE,FALSE,20170602,
85,3610158298,74-635-2382,5072394654,Salkild,Newton,20130208,20170814,20170905,"""SE""",20171114,4,,Bonner,,Crossing,2068,Richmond,CA,94807,466.78,Armenian,209174319,Single,,,,,56712.08,,,,,,,20170219,FALSE,FALSE,FALSE,TRUE,20171212,
86,1885290217,88-100-3849,3003621556,Bineham,Gabie,20111129,20170905,20170612,"""SE""",20171028,443,,Northview,,Terrace,,San Diego,CA,92121,3148.69,Danish,122259169,Widower,,,,,4740.15,,,,,,,20171119,TRUE,TRUE,FALSE,TRUE,20171019,
87,2202848975,33-584-5306,7762332863,Guntrip,Fleurette,20170206,20170617,20170313,"""SE""",20170401,94577,,Huxley,,Way,,Newark,NJ,7188,1701.41,Moldovan,719876589,Widower,,,,,,,,,,,,20170920,FALSE,FALSE,FALSE,FALSE,20170609,
88,8270131792,65-221-3758,2229564471,Kitcherside,Adrianna,20121003,20170718,20171013,"""SE""",20171012,3370,,Milwaukee,,Lane,,Van Nuys,CA,91406,3304.96,Tetum,510790901,Married,,,,,49246.69,,,,,,,20170207,FALSE,TRUE,TRUE,TRUE,20171227,
89,939910012,85-446-4892,8556730590,Tumilson,Scotty,20141110,20171221,20170722,"""SE""",20170611,252,,Carpenter,,Park,446,Milwaukee,WI,53285,3494.29,Punjabi,815305447,Single,,,,,33234.34,,,,,,,20171215,FALSE,FALSE,TRUE,FALSE,20170607,
90,3213610909,02-289-9311,5432517086,Schoolcroft,Gracie,20110913,20170209,20170429,"""SE""",20170720,9924,,Morningstar,,Center,328,Milwaukee,WI,53234,3364.58,Pashto,593719941,Widow,,,,,29248.1,,,,,,,20171031,TRUE,FALSE,TRUE,FALSE,20170602,
91,2135355518,19-881-7854,4225012581,Josum,Betteanne,20120617,20171128,20170218,"""SE""",20170210,0,,Hudson,,Alley,3,Torrance,CA,90510,1089.1,Polish,763186397,Divorced,,,,,14399.63,,,,,,,20171227,TRUE,FALSE,FALSE,FALSE,20170119,
92,6453251493,67-635-7915,5354529026,Darcey,Bronnie,20110404,20170708,20171117,"""SE""",20171101,17,,Pierstorff,,Pass,,Pasadena,CA,91186,3440.61,Tamil,776385040,Widower,,,,,17157.46,,,,,,,20170323,FALSE,FALSE,TRUE,TRUE,20170225,
93,3636078046,30-267-0369,3619683778,Grouen,Dael,20110207,20170630,20171015,"""SE""",20170610,19,,West,,Lane,8,Jacksonville,FL,32230,1325.11,Japanese,181305477,Single,,,,,11973.45,,,,,,,20170501,TRUE,TRUE,FALSE,FALSE,20170821,
94,6478717003,08-057-6801,7701906010,Windus,Chadwick,20140212,20170606,20170207,"""SE""",20170727,1,,Anthes,,Plaza,,Montgomery,AL,36114,2515.53,Finnish,731612254,Widower,,,,,2479.25,,,,,,,20170509,FALSE,TRUE,FALSE,TRUE,20170613,
